PDB_ID,kcat_mut,active_site_residues
3HBM,2.8,[]
6O5V,7333.33333,[]
1NZY,0.13,[]
1TBF,3.7,[]
4N8D,5560.0,[]
4D8L,0.0013,[]
1V08,4.97,[]
3ZX3,31.1,[]
4PTX,7.8,[]
3F3K,0.5,[]
5E0O,0.094,[]
1SWW,1.95,[]
1M40,196.0,[]
5UZ0,0.014,[]
3NSM,356.0,[]
4FNS,48.1,[]
2FPQ,1.6,[]
4CQB,106.5,[]
4XB3,42.1,[]
1PV1,0.078,[]
4H4F,2.7,[]
4WKB,0.0079,[]
3ECM,4.3,[]
4Q0M,199.2,[]
4DUK,1.1,[]
3WUX,41.6,[]
1Q8F,46.9,[]
2UXY,25.05,[]
1BLI,207.0,[]
5TIF,5.98,[]
5JNV,11.8,[]
1VE6,0.000917,[]
1LYV,193.0,[]
1B9V,0.03,[]
5AI0,2.55,[]
1ONG,230.0,[]
2A9G,0.0037,[]
2GMW,0.042,[]
1XD3,1.03,[]
3LRK,91.0,[]
1EG1,0.003,[]
1OYV,475.0,[]
3I2K,1210.05,[]
3KW9,5.7,[]
3OD5,0.051,[]
1FIT,0.91,[]
3V8E,0.007,[]
2AHF,0.0059,[]
1V04,6.0,[]
3NM6,1.0,[]
4DZT,59.5,[]
1LCY,0.0095,[]
4EAM,167.5,[]
5IDI,14.4,[]
1TF4,0.07,[]
1QVB,72.9,[]
6G85,0.13,[]
1SZO,1.42,[]
1W7F,1.21,[]
1UHV,0.0052,[]
1UWC,84.0,[]
3LXU,4.44,[]
